persona_id,persona_name,goal,risk,horizon,experience,amount,rank,fund_id,fund_name,category,asset_class,score,match_level,sharpe,sortino,cagr3y,volatility,null_fields
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",67.5,"medium",1.8,2.55,8.01,0.87,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",3,"Franklin_India_Banking___PSU_Debt_Fund___Direct_Pl_173","Franklin India Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",66.94,"medium",1.43,2.32,7.83,0.94,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",82.43,"high",4.28,6.42,7.68,0.29,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",82.09,"high",3.66,6.01,7.05,0.19,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",6,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",76.49,"high",2.98,5.01,8.48,0.69,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",7,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",74.96,"high",2.61,4.56,8.35,0.7,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",74.95,"high",2.86,4.35,7.7,0.44,0
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",9,"Baroda_BNP_Paribas_Low_Duration_Fund___Direct_Plan_112","Baroda BNP Paribas Low Duration Fund - Direct Plan","DT-LD","Debt",74.27,"high",2.8,3.96,7.62,0.42,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",1,"ICICI_Prudential_Short_Term_Fund___Direct_Plan_258","ICICI Prudential Short Term Fund - Direct Plan","DT-SD","Debt",66.3,"medium",2.21,3.27,8.33,0.83,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",2,"Kotak_Arbitrage_Fund___Direct_Plan_138","Kotak Arbitrage Fund - Direct Plan","HY-AR","Hybrid",75.75,"high",3.84,5.95,7.8,0.39,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",3,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",75.04,"high",4.23,6.5,7.77,0.35,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",4,"Invesco_India_Arbitrage_Fund___Direct_Plan_127","Invesco India Arbitrage Fund - Direct Plan","HY-AR","Hybrid",74.4,"high",4.25,6.36,7.78,0.35,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",5,"Aditya_Birla_Sun_Life_Arbitrage_Fund___Direct_Plan_4","Aditya Birla Sun Life Arbitrage Fund - Direct Plan","HY-AR","Hybrid",74.26,"high",4.02,5.98,7.73,0.35,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",6,"Bandhan_Money_Market_Fund___Direct_Plan_96","Bandhan Money Market Fund - Direct Plan","DT-MM","Debt",73.82,"high",3.3,6.08,7.58,0.35,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",7,"Axis_Liquid_Fund___Direct_Plan_56","Axis Liquid Fund - Direct Plan","DT-LIQ","Debt",73.74,"high",3.56,5.46,7.06,0.19,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",8,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",73.48,"high",3.66,6.01,7.05,0.19,0
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",9,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",72.93,"high",4.28,6.42,7.68,0.29,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",67.84,"medium",1.32,3.29,8.34,1.36,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",67.45,"medium",1.8,2.55,8.01,0.87,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",3,"ICICI_Prudential_Banking___PSU_Debt_Fund___Direct__233","ICICI Prudential Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",65.45,"medium",1.54,2.06,7.9,0.94,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",82.57,"high",4.28,6.42,7.68,0.29,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",82.03,"high",3.66,6.01,7.05,0.19,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",6,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",75.02,"high",2.61,4.56,8.35,0.7,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",7,"Aditya_Birla_Sun_Life_Floating_Rate_Fund___Direct__25","Aditya Birla Sun Life Floating Rate Fund - Direct Plan","DT-Floater","Debt",71.62,"high",2.5,3.26,7.85,0.55,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",74.99,"high",2.86,4.35,7.7,0.44,0
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",9,"Mahindra_Manulife_Low_Duration_Fund___Direct_Plan_330","Mahindra Manulife Low Duration Fund - Direct Plan","DT-LD","Debt",74.27,"high",2.91,4,7.71,0.42,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",67.92,"medium",1.32,3.29,8.34,1.36,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",67.5,"medium",1.8,2.55,8.01,0.87,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",3,"Franklin_India_Banking___PSU_Debt_Fund___Direct_Pl_173","Franklin India Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",66.94,"medium",1.43,2.32,7.83,0.94,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",82.43,"high",4.28,6.42,7.68,0.29,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",82.09,"high",3.66,6.01,7.05,0.19,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",6,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",76.49,"high",2.98,5.01,8.48,0.69,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",7,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",74.96,"high",2.61,4.56,8.35,0.7,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",74.95,"high",2.86,4.35,7.7,0.44,0
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",9,"Baroda_BNP_Paribas_Low_Duration_Fund___Direct_Plan_112","Baroda BNP Paribas Low Duration Fund - Direct Plan","DT-LD","Debt",74.27,"high",2.8,3.96,7.62,0.42,0
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",1,"HDFC_NIFTY_Midcap_150_ETF_393","HDFC NIFTY Midcap 150 ETF","EQ-MC","Equity",41.01,"medium",,,24.24,,3
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",2,"LIC_MF_Nifty_Midcap_100_ETF_669","LIC MF Nifty Midcap 100 ETF","EQ-MC","Equity",17.84,"low",,,,,4
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",3,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",40.64,"medium",,,24.95,,3
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",4,"HDFC_BSE_500_ETF_351","HDFC BSE 500 ETF","EQ-FLX","Equity",34.26,"low",,,16.6,,3
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",5,"ITI_Large___Mid_Cap_Fund___Direct_Plan_559","ITI Large & Mid Cap Fund - Direct Plan","EQ-L&MC","Equity",22.12,"low",,,,,4
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",6,"Mahindra_Manulife_Value_Fund___Direct_Plan_688","Mahindra Manulife Value Fund - Direct Plan","EQ-VAL","Equity",24.67,"low",,,,,4
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",7,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",67.61,"medium",4.23,6.5,7.77,0.35,0
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",8,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",65.43,"medium",4.28,6.42,7.68,0.29,0
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",9,"Tata_Ultra_Short_Term_Fund___Direct_Plan_449","Tata Ultra Short Term Fund - Direct Plan","DT-USD","Debt",60.34,"medium",3.83,5.18,7.53,0.29,0
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",1,"ICICI_Prudential_Dy__mic_Asset_Allocation_Active_F_116","ICICI Prudential Dy--mic Asset Allocation Active FoF - Direct Plan","HY-DAA","Hybrid",47.38,"medium",1.44,2.05,14.64,5.33,0
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",2,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",40.15,"medium",,,24.95,,3
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",3,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",29.88,"low",,,15.08,,3
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",4,"SBI_Nifty50_Equal_Weight_Index_Fund___Direct_Plan_992","SBI Nifty50 Equal Weight Index Fund - Direct Plan","EQ-LC","Equity",24.9,"low",,,,,4
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",5,"Mahindra_Manulife_Value_Fund___Direct_Plan_688","Mahindra Manulife Value Fund - Direct Plan","EQ-VAL","Equity",25.72,"low",,,,,4
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",6,"Nippon_India_Conservative_Hybrid_Fund___Direct_Pla_174","Nippon India Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",47.58,"medium",1.81,3.08,10.15,1.9,0
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",7,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",47.3,"medium",1.32,3.29,8.34,1.36,0
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",8,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",67.7,"medium",4.23,6.5,7.77,0.35,0
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",9,"Edelweiss_Equity_Savings_Fund___Direct_Plan_76","Edelweiss Equity Savings Fund - Direct Plan","HY-EQ S","Hybrid",45.03,"medium",1.64,2.27,12.51,3.48,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",67.71,"medium",1.32,3.29,8.34,1.36,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",67.36,"medium",1.8,2.55,8.01,0.87,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",3,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",76.5,"high",2.98,5.01,8.48,0.69,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",4,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",74.96,"high",2.61,4.56,8.35,0.7,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",5,"Parag_Parikh_Conservative_Hybrid_Fund___Direct_Pla_188","Parag Parikh Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",60.94,"medium",1.51,2.78,11.9,3.1,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",6,"Aditya_Birla_Sun_Life_Regular_Savings_Fund___Direc_14","Aditya Birla Sun Life Regular Savings Fund - Direct Plan","HY-CH","Hybrid",58.56,"medium",1.18,2.13,10.43,3.02,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",7,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",82.54,"high",4.28,6.42,7.68,0.29,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",8,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",83.21,"high",4.23,6.5,7.77,0.35,0
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",9,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",82.01,"high",3.66,6.01,7.05,0.19,0
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",1,"LIC_MF_Nifty_Midcap_100_ETF_669","LIC MF Nifty Midcap 100 ETF","EQ-MC","Equity",22.98,"low",,,,,4
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",2,"Helios_Mid_Cap_Fund___Direct_Plan_413","Helios Mid Cap Fund - Direct Plan","EQ-MC","Equity",14.79,"low",,,,,4
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",3,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",40.26,"medium",,,24.95,,3
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",4,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",27.04,"low",,,15.08,,3
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",5,"SBI_Nifty50_Equal_Weight_Index_Fund___Direct_Plan_992","SBI Nifty50 Equal Weight Index Fund - Direct Plan","EQ-LC","Equity",25.43,"low",,,,,4
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",6,"Mahindra_Manulife_Value_Fund___Direct_Plan_688","Mahindra Manulife Value Fund - Direct Plan","EQ-VAL","Equity",25.55,"low",,,,,4
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",7,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",59.65,"medium",4.23,6.5,7.77,0.35,0
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",8,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",58.27,"medium",4.28,6.42,7.68,0.29,0
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",9,"Nippon_India_Multi_Asset_Allocation_Fund___Direct__181","Nippon India Multi Asset Allocation Fund - Direct Plan","HY-MAA","Hybrid",57.7,"medium",2.08,2.94,22.97,7.42,0
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",1,"ICICI_Prudential_Dy__mic_Asset_Allocation_Active_F_116","ICICI Prudential Dy--mic Asset Allocation Active FoF - Direct Plan","HY-DAA","Hybrid",60.26,"medium",1.44,2.05,14.64,5.33,0
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",2,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",56.29,"medium",,,24.95,,3
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",3,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",46.01,"medium",,,15.08,,3
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",4,"SBI_Nifty50_Equal_Weight_Index_Fund___Direct_Plan_992","SBI Nifty50 Equal Weight Index Fund - Direct Plan","EQ-LC","Equity",40.08,"medium",,,,,4
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",5,"Mahindra_Manulife_Value_Fund___Direct_Plan_688","Mahindra Manulife Value Fund - Direct Plan","EQ-VAL","Equity",40.91,"medium",,,,,4
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",6,"Parag_Parikh_Conservative_Hybrid_Fund___Direct_Pla_188","Parag Parikh Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",58.49,"medium",1.51,2.78,11.9,3.1,0
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",7,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",58.41,"medium",1.8,2.55,8.01,0.87,0
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",8,"Kotak_Arbitrage_Fund___Direct_Plan_138","Kotak Arbitrage Fund - Direct Plan","HY-AR","Hybrid",68.49,"medium",3.84,5.95,7.8,0.39,0
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",9,"Edelweiss_Equity_Savings_Fund___Direct_Plan_76","Edelweiss Equity Savings Fund - Direct Plan","HY-EQ S","Hybrid",57.2,"medium",1.64,2.27,12.51,3.48,0
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",1,"SBI_ELSS_Tax_Saver_Fund___Direct_Plan_968","SBI ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",78.33,"high",1.29,2.03,24.48,12.91,0
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",2,"HDFC_ELSS_Tax_Saver_Fund___Direct_Plan_361","HDFC ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",77.34,"high",1.29,2.13,21.92,10.97,0
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",3,"DSP_ELSS_Tax_Saver_Fund___Direct_Plan_213","DSP ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",73.79,"high",1.08,1.94,21.81,12.92,0
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",4,"SBI_Long_Term_Advantage_Fund_Series_V___Direct_Pla_981","SBI Long Term Advantage Fund Series V - Direct Plan","EQ-ELSS","Equity",72.32,"high",1.19,1.91,23.73,13.4,0
12,"Mid-Income Tax Optimizer","tax_saving","moderate","medium","intermediate","medium",1,"Zerodha_ELSS_Tax_Saver_Nifty_Large_Midcap_250_Inde_1173","Zerodha ELSS Tax Saver Nifty Large Midcap 250 Index Fund - Direct Plan","EQ-ELSS","Equity",43.27,"medium",,,,,4
12,"Mid-Income Tax Optimizer","tax_saving","moderate","medium","intermediate","medium",2,"NJ_ELSS_Tax_Saver_Scheme___Direct_Plan_899","NJ ELSS Tax Saver Scheme - Direct Plan","EQ-ELSS","Equity",39.13,"low",,,,,4
13,"High Earner Tax Planner","tax_saving","aggressive","long","experienced","large",1,"SBI_ELSS_Tax_Saver_Fund___Direct_Plan_968","SBI ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",80.14,"high",1.29,2.03,24.48,12.91,0
13,"High Earner Tax Planner","tax_saving","aggressive","long","experienced","large",2,"DSP_ELSS_Tax_Saver_Fund___Direct_Plan_213","DSP ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",68.73,"medium",1.08,1.94,21.81,12.92,0
13,"High Earner Tax Planner","tax_saving","aggressive","long","experienced","large",3,"Baroda_BNP_Paribas_ELSS_Tax_Saver_Fund___Direct_Pl_173","Baroda BNP Paribas ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",55.83,"medium",1.04,1.45,20.87,13.16,0
13,"High Earner Tax Planner","tax_saving","aggressive","long","experienced","large",4,"Mirae_Asset_ELSS_Tax_Saver_Fund___Direct_Plan_699","Mirae Asset ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",51.56,"medium",0.92,1.32,18.93,12.6,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",67.92,"medium",1.32,3.29,8.34,1.36,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",67.5,"medium",1.8,2.55,8.01,0.87,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",3,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",76.49,"high",2.98,5.01,8.48,0.69,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",4,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",74.96,"high",2.61,4.56,8.35,0.7,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",5,"Mirae_Asset_Nifty50_Equal_Weight_ETF_721","Mirae Asset Nifty50 Equal Weight ETF","EQ-LC","Equity",53.01,"medium",,,,,4
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",6,"Nippon_India_BSE_Sensex_Next_30_ETF_843","Nippon India BSE Sensex Next 30 ETF","EQ-LC","Equity",52.73,"medium",,,,,4
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",7,"Nippon_India_Conservative_Hybrid_Fund___Direct_Pla_174","Nippon India Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",66.61,"medium",1.81,3.08,10.15,1.9,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",8,"Parag_Parikh_Conservative_Hybrid_Fund___Direct_Pla_188","Parag Parikh Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",61.58,"medium",1.51,2.78,11.9,3.1,0
14,"Conservative Tax Saver","tax_saving","conservative","medium","beginner","medium",9,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",82.09,"high",3.66,6.01,7.05,0.19,0
15,"Experienced Tax Arbitrageur","tax_saving","aggressive","long","experienced","above_10l",1,"SBI_ELSS_Tax_Saver_Fund___Direct_Plan_968","SBI ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",80.14,"high",1.29,2.03,24.48,12.91,0
