persona_id,persona_name,goal,risk,horizon,experience,amount,rank,fund_id,fund_name,category,asset_class,score,match_level,sharpe,sortino,cagr3y,volatility,null_fields,confidence_level,confidence_reason
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",64.12,"medium",1.8,2.55,8.01,0.87,0,"high","Fund has 10+ year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",3,"Franklin_India_Banking___PSU_Debt_Fund___Direct_Pl_173","Franklin India Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",63.59,"medium",1.43,2.32,7.83,0.94,0,"high","Fund has 10+ year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",78.31,"high",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",77.99,"high",3.66,6.01,7.05,0.19,0,"high","Fund has 10+ year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",6,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",72.67,"high",2.98,5.01,8.48,0.69,0,"high","Fund has 10+ year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",7,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",71.22,"high",2.61,4.56,8.35,0.7,0,"high","Fund has 7-year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",71.2,"high",2.86,4.35,7.7,0.44,0,"high","Fund has 10+ year track record and complete performance history."
2,"Emergency Fund Saver","capital_preservation","conservative","short","beginner","small",9,"Baroda_BNP_Paribas_Low_Duration_Fund___Direct_Plan_112","Baroda BNP Paribas Low Duration Fund - Direct Plan","DT-LD","Debt",70.56,"high",2.8,3.96,7.62,0.42,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",1,"ICICI_Prudential_Short_Term_Fund___Direct_Plan_258","ICICI Prudential Short Term Fund - Direct Plan","DT-SD","Debt",62.99,"medium",2.21,3.27,8.33,0.83,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",2,"Kotak_Arbitrage_Fund___Direct_Plan_138","Kotak Arbitrage Fund - Direct Plan","HY-AR","Hybrid",71.96,"high",3.84,5.95,7.8,0.39,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",3,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",71.29,"high",4.23,6.5,7.77,0.35,0,"high","Fund has 7-year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",4,"Invesco_India_Arbitrage_Fund___Direct_Plan_127","Invesco India Arbitrage Fund - Direct Plan","HY-AR","Hybrid",70.68,"high",4.25,6.36,7.78,0.35,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",5,"Aditya_Birla_Sun_Life_Arbitrage_Fund___Direct_Plan_4","Aditya Birla Sun Life Arbitrage Fund - Direct Plan","HY-AR","Hybrid",70.55,"high",4.02,5.98,7.73,0.35,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",6,"Bandhan_Money_Market_Fund___Direct_Plan_96","Bandhan Money Market Fund - Direct Plan","DT-MM","Debt",70.13,"high",3.3,6.08,7.58,0.35,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",7,"Axis_Liquid_Fund___Direct_Plan_56","Axis Liquid Fund - Direct Plan","DT-LIQ","Debt",70.05,"high",3.56,5.46,7.06,0.19,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",8,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",69.81,"medium",3.66,6.01,7.05,0.19,0,"high","Fund has 10+ year track record and complete performance history."
3,"Moderate Capital Preserver","capital_preservation","moderate","medium","intermediate","medium",9,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",69.28,"medium",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",64.45,"medium",1.32,3.29,8.34,1.36,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",64.07,"medium",1.8,2.55,8.01,0.87,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",3,"ICICI_Prudential_Banking___PSU_Debt_Fund___Direct__233","ICICI Prudential Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",62.18,"medium",1.54,2.06,7.9,0.94,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",78.44,"high",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",77.93,"high",3.66,6.01,7.05,0.19,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",6,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",71.27,"high",2.61,4.56,8.35,0.7,0,"high","Fund has 7-year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",7,"Aditya_Birla_Sun_Life_Floating_Rate_Fund___Direct__25","Aditya Birla Sun Life Floating Rate Fund - Direct Plan","DT-Floater","Debt",68.03,"medium",2.5,3.26,7.85,0.55,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",71.24,"high",2.86,4.35,7.7,0.44,0,"high","Fund has 10+ year track record and complete performance history."
4,"Wealthy Capital Guardian","capital_preservation","conservative","medium","experienced","above_10l",9,"Mahindra_Manulife_Low_Duration_Fund___Direct_Plan_330","Mahindra Manulife Low Duration Fund - Direct Plan","DT-LD","Debt",70.55,"high",2.91,4,7.71,0.42,0,"high","Fund has 9-year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",64.52,"medium",1.32,3.29,8.34,1.36,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",64.12,"medium",1.8,2.55,8.01,0.87,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",3,"Franklin_India_Banking___PSU_Debt_Fund___Direct_Pl_173","Franklin India Banking & PSU Debt Fund - Direct Plan","DT-BK & PSU","Debt",63.59,"medium",1.43,2.32,7.83,0.94,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",4,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",78.31,"high",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",5,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",77.99,"high",3.66,6.01,7.05,0.19,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",6,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",72.67,"high",2.98,5.01,8.48,0.69,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",7,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",71.22,"high",2.61,4.56,8.35,0.7,0,"high","Fund has 7-year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",8,"Axis_Treasury_Advantage_Fund___Direct_Plan_65","Axis Treasury Advantage Fund - Direct Plan","DT-LD","Debt",71.2,"high",2.86,4.35,7.7,0.44,0,"high","Fund has 10+ year track record and complete performance history."
5,"New Investor Capital Safety","capital_preservation","conservative","short","beginner","under_1l",9,"Baroda_BNP_Paribas_Low_Duration_Fund___Direct_Plan_112","Baroda BNP Paribas Low Duration Fund - Direct Plan","DT-LD","Debt",70.56,"high",2.8,3.96,7.62,0.42,0,"high","Fund has 10+ year track record and complete performance history."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",1,"HDFC_NIFTY_Midcap_150_ETF_393","HDFC NIFTY Midcap 150 ETF","EQ-MC","Equity",27.5,"low",,,24.24,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",2,"HDFC_NIFTY_Midcap_150_Index_Fund___Direct_Plan_394","HDFC NIFTY Midcap 150 Index Fund - Direct Plan","EQ-MC","Equity",8.69,"low",,,,,4,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",3,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",27.25,"low",,,24.95,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",4,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",20.39,"low",,,15.08,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",5,"Mirae_Asset_Nifty50_Equal_Weight_ETF_721","Mirae Asset Nifty50 Equal Weight ETF","EQ-LC","Equity",12.94,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",6,"Mahindra_Manulife_Value_Fund___Direct_Plan_688","Mahindra Manulife Value Fund - Direct Plan","EQ-VAL","Equity",11.8,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",7,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",64.23,"medium",4.23,6.5,7.77,0.35,0,"high","Fund has 7-year track record and complete performance history."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",8,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",62.16,"medium",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
6,"Early Career Retirement","retirement","aggressive","long","beginner","small",9,"Axis_Ultra_Short_Duration_Fund___Direct_Plan_66","Axis Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",57.29,"medium",3.77,5.48,7.56,0.3,0,"high","Fund has 7-year track record and complete performance history."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",1,"ICICI_Prudential_Dy__mic_Asset_Allocation_Active_F_116","ICICI Prudential Dy--mic Asset Allocation Active FoF - Direct Plan","HY-DAA","Hybrid",45.01,"medium",1.44,2.05,14.64,5.33,0,"high","Fund has 10+ year track record and complete performance history."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",2,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",26.93,"low",,,24.95,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",3,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",20.04,"low",,,15.08,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",4,"SBI_Nifty50_Equal_Weight_Index_Fund___Direct_Plan_992","SBI Nifty50 Equal Weight Index Fund - Direct Plan","EQ-LC","Equity",11.9,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",5,"UTI_Nifty_500_Value_50_Index_Fund___Direct_Plan_1140","UTI Nifty 500 Value 50 Index Fund - Direct Plan","EQ-VAL","Equity",13.48,"low",,,,,4,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",6,"Nippon_India_Conservative_Hybrid_Fund___Direct_Pla_174","Nippon India Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",45.2,"medium",1.81,3.08,10.15,1.9,0,"high","Fund has 10+ year track record and complete performance history."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",7,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",44.93,"medium",1.32,3.29,8.34,1.36,0,"high","Fund has 10+ year track record and complete performance history."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",8,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",64.32,"medium",4.23,6.5,7.77,0.35,0,"high","Fund has 7-year track record and complete performance history."
7,"Mid-Career Retirement Builder","retirement","moderate","long","intermediate","medium",9,"Edelweiss_Equity_Savings_Fund___Direct_Plan_76","Edelweiss Equity Savings Fund - Direct Plan","HY-EQ S","Hybrid",42.78,"medium",1.64,2.27,12.51,3.48,0,"high","Fund has 10+ year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",1,"Franklin_India_Corporate_Debt_Fund___Direct_Plan_174","Franklin India Corporate Debt Fund - Direct Plan","DT-CB","Debt",64.33,"medium",1.32,3.29,8.34,1.36,0,"high","Fund has 10+ year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",2,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",64,"medium",1.8,2.55,8.01,0.87,0,"high","Fund has 10+ year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",3,"ICICI_Prudential_Floating_Interest_Fund___Direct_P_242","ICICI Prudential Floating Interest Fund - Direct Plan","DT-Floater","Debt",72.67,"high",2.98,5.01,8.48,0.69,0,"high","Fund has 10+ year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",4,"Kotak_Floating_Rate_Fund___Direct_Plan_300","Kotak Floating Rate Fund - Direct Plan","DT-Floater","Debt",71.21,"high",2.61,4.56,8.35,0.7,0,"high","Fund has 7-year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",5,"Parag_Parikh_Conservative_Hybrid_Fund___Direct_Pla_188","Parag Parikh Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",57.89,"medium",1.51,2.78,11.9,3.1,0,"high","Fund has 5-year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",6,"Aditya_Birla_Sun_Life_Regular_Savings_Fund___Direc_14","Aditya Birla Sun Life Regular Savings Fund - Direct Plan","HY-CH","Hybrid",55.63,"medium",1.18,2.13,10.43,3.02,0,"high","Fund has 10+ year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",7,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",78.41,"high",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",8,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",79.04,"high",4.23,6.5,7.77,0.35,0,"high","Fund has 7-year track record and complete performance history."
8,"Late-Stage Retirement","retirement","conservative","short","experienced","large",9,"Union_Liquid_Fund___Direct_Plan_460","Union Liquid Fund - Direct Plan","DT-LIQ","Debt",77.91,"high",3.66,6.01,7.05,0.19,0,"high","Fund has 10+ year track record and complete performance history."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",1,"LIC_MF_Nifty_Midcap_100_ETF_669","LIC MF Nifty Midcap 100 ETF","EQ-MC","Equity",10.99,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",2,"Helios_Mid_Cap_Fund___Direct_Plan_413","Helios Mid Cap Fund - Direct Plan","EQ-MC","Equity",7.07,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",3,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",27,"low",,,24.95,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",4,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",18.13,"low",,,15.08,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",5,"SBI_Nifty50_Equal_Weight_Index_Fund___Direct_Plan_992","SBI Nifty50 Equal Weight Index Fund - Direct Plan","EQ-LC","Equity",12.16,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",6,"UTI_Nifty_500_Value_50_Index_Fund___Direct_Plan_1140","UTI Nifty 500 Value 50 Index Fund - Direct Plan","EQ-VAL","Equity",13.5,"low",,,,,4,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",7,"Tata_Arbitrage_Fund___Direct_Plan_229","Tata Arbitrage Fund - Direct Plan","HY-AR","Hybrid",56.66,"medium",4.23,6.5,7.77,0.35,0,"high","Fund has 7-year track record and complete performance history."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",8,"Nippon_India_Ultra_Short_Duration_Fund___Direct_Pl_385","Nippon India Ultra Short Duration Fund - Direct Plan","DT-USD","Debt",55.36,"medium",4.28,6.42,7.68,0.29,0,"high","Fund has 10+ year track record and complete performance history."
9,"Aggressive Retirement Accumulator","retirement","aggressive","long","experienced","large",9,"Nippon_India_Multi_Asset_Allocation_Fund___Direct__181","Nippon India Multi Asset Allocation Fund - Direct Plan","HY-MAA","Hybrid",54.81,"medium",2.08,2.94,22.97,7.42,0,"high","Fund has 5-year track record and complete performance history."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",1,"ICICI_Prudential_Dy__mic_Asset_Allocation_Active_F_116","ICICI Prudential Dy--mic Asset Allocation Active FoF - Direct Plan","HY-DAA","Hybrid",57.25,"medium",1.44,2.05,14.64,5.33,0,"high","Fund has 10+ year track record and complete performance history."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",2,"HSBC_Multi_Cap_Fund___Direct_Plan_430","HSBC Multi Cap Fund - Direct Plan","EQ-MLC","Equity",37.74,"low",,,24.95,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",3,"Tata_Multicap_Fund___Direct_Plan_1063","Tata Multicap Fund - Direct Plan","EQ-MLC","Equity",30.85,"low",,,15.08,,3,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",4,"SBI_Nifty50_Equal_Weight_Index_Fund___Direct_Plan_992","SBI Nifty50 Equal Weight Index Fund - Direct Plan","EQ-LC","Equity",19.16,"low",,,,,4,"limited_history","Fund is relatively new or lacks sufficient historical performance data."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",5,"UTI_Nifty_500_Value_50_Index_Fund___Direct_Plan_1140","UTI Nifty 500 Value 50 Index Fund - Direct Plan","EQ-VAL","Equity",21.59,"low",,,,,4,"limited_history","Fund lacks sufficient historical performance data due to missing critical metrics."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",6,"Parag_Parikh_Conservative_Hybrid_Fund___Direct_Pla_188","Parag Parikh Conservative Hybrid Fund - Direct Plan","HY-CH","Hybrid",55.57,"medium",1.51,2.78,11.9,3.1,0,"high","Fund has 5-year track record and complete performance history."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",7,"ICICI_Prudential_Corporate_Bond_Fund___Direct_Plan_238","ICICI Prudential Corporate Bond Fund - Direct Plan","DT-CB","Debt",55.49,"medium",1.8,2.55,8.01,0.87,0,"high","Fund has 10+ year track record and complete performance history."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",8,"Kotak_Arbitrage_Fund___Direct_Plan_138","Kotak Arbitrage Fund - Direct Plan","HY-AR","Hybrid",65.07,"medium",3.84,5.95,7.8,0.39,0,"high","Fund has 10+ year track record and complete performance history."
10,"Balanced Retirement Planner","retirement","moderate","medium","intermediate","medium",9,"Edelweiss_Equity_Savings_Fund___Direct_Plan_76","Edelweiss Equity Savings Fund - Direct Plan","HY-EQ S","Hybrid",54.34,"medium",1.64,2.27,12.51,3.48,0,"high","Fund has 10+ year track record and complete performance history."
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",1,"SBI_ELSS_Tax_Saver_Fund___Direct_Plan_968","SBI ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",74.41,"high",1.29,2.03,24.48,12.91,0,"high","Fund has 10+ year track record and complete performance history."
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",2,"HDFC_ELSS_Tax_Saver_Fund___Direct_Plan_361","HDFC ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",73.48,"high",1.29,2.13,21.92,10.97,0,"high","Fund has 10+ year track record and complete performance history."
11,"Young Tax Saver","tax_saving","aggressive","long","beginner","small",3,"DSP_ELSS_Tax_Saver_Fund___Direct_Plan_213","DSP ELSS Tax Saver Fund - Direct Plan","EQ-ELSS","Equity",70.1,"high",1.08,1.94,21.81,12.92,0,"high","Fund has 10+ year track record and complete performance history."
